checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,36,1,7,2384,1,4,4,0,0,1,2,33,0,2,1,1,1,1,0,1
1,36,1,0,4795,1,4,4,1,0,1,2,30,0,0,1,2,1,0,0,0
0,10,1,0,2315,1,0,3,0,0,4,0,52,0,0,1,1,1,1,0,0
2,18,1,3,1820,1,1,2,3,0,2,1,30,0,0,1,2,1,0,0,0
2,6,1,4,1236,2,1,2,0,0,4,1,50,0,2,1,0,1,1,0,0
2,24,1,0,1278,1,0,4,0,0,1,0,36,0,0,1,2,1,0,0,0
0,12,1,3,1168,1,1,4,3,0,3,0,27,0,0,1,1,1,1,0,0
1,6,1,0,1068,1,0,4,0,0,4,3,28,0,0,1,0,2,1,0,0
1,36,1,4,9398,1,4,1,3,0,4,3,28,0,2,1,2,1,0,0,1
0,48,3,4,4605,1,0,3,0,0,4,2,24,0,1,2,0,2,1,0,1
3,24,1,2,3749,1,4,2,1,0,4,3,26,0,0,1,0,1,1,0,0
2,36,1,4,8133,1,1,1,1,0,2,1,30,1,0,1,0,1,1,0,0
2,24,1,0,1552,1,2,3,0,0,1,3,32,1,0,1,0,2,1,0,0
2,48,0,4,2751,0,0,4,0,0,3,3,38,0,0,2,0,2,0,0,0
0,15,1,3,3959,1,1,3,1,0,2,1,29,0,0,1,0,1,0,0,1
0,12,1,0,1680,2,0,3,3,0,1,0,35,0,0,1,0,1,1,0,0
2,48,0,0,3578,0,0,4,0,0,1,0,47,0,0,1,0,1,0,0,0
3,12,2,3,2247,1,1,2,1,0,2,3,36,2,0,2,0,1,0,0,0
1,12,0,3,2366,2,2,3,2,0,3,3,36,0,0,1,2,1,0,0,0
2,12,1,3,640,1,1,4,2,0,2,0,49,0,0,1,1,1,1,0,0
1,15,4,3,6850,4,3,1,0,0,2,1,34,0,0,1,2,2,0,0,1
